user_id,first_name,last_name,date_start,date_end,ctc,net_pay,gross_pay,data_salary_basic_rate,data_salary_basic_type,currency,status,created_at
92930,"","",2022-05-01,2022-05-31,825000,825000,825000,55000,daily,IDR,approved,2022-06-10 08:05:32
120666,"","",2022-06-01,2022-06-30,2538494,2538494,2538494,2500000,monthly,IDR,approved,2022-06-10 08:08:48
120666,"","",2022-05-01,2022-05-31,2000000,2000000,2000000,2500000,monthly,IDR,approved,2022-06-10 08:09:20
120694,"","",2022-05-01,2022-05-31,770000,770000,770000,35000,daily,IDR,approved,2022-06-10 08:12:32
120696,"","",2022-05-01,2022-05-31,770000,770000,770000,35000,daily,IDR,approved,2022-06-10 08:14:11
121592,"","",2022-05-01,2022-05-31,100000,100000,100000,50000,daily,IDR,approved,2022-06-10 08:16:27
74138,"","",2022-05-01,2022-05-31,1947500,1947500,1947500,2000000,monthly,IDR,approved,2022-06-10 08:16:49
74027,"","",2022-05-01,2022-05-31,3897500,3897500,3897500,3500000,monthly,IDR,approved,2022-06-10 08:17:18
74025,"","",2022-05-01,2022-05-31,1947500,1947500,1947500,2000000,monthly,IDR,approved,2022-06-10 08:18:03
75963,"","",2022-05-01,2022-05-31,585000,585000,585000,120000,daily,IDR,approved,2022-06-10 08:19:30
93607,"","",2022-05-01,2022-05-31,117000,117000,117000,120000,daily,IDR,approved,2022-06-10 08:20:11
125721,"","",2022-05-01,2022-05-31,234000,234000,234000,120000,daily,IDR,approved,2022-06-10 08:21:47
84932,"","",2022-05-01,2022-05-31,585000,585000,585000,120000,daily,IDR,approved,2022-06-10 08:22:29
85877,"","",2022-05-01,2022-05-31,117000,117000,117000,120000,daily,IDR,approved,2022-06-10 08:23:19
125744,"","",2022-05-01,2022-05-31,351000,351000,351000,120000,daily,IDR,approved,2022-06-10 08:24:13
75218,"","",2022-06-01,2022-06-30,929870.83333333,929870.83,929870.83333333,15000,hourly,IDR,approved,2022-07-04 02:49:11
74053,"","",2022-06-01,2022-06-30,3551296,3551296,3551296,3500000,monthly,IDR,approved,2022-07-09 07:32:54
84541,"","",2022-06-01,2022-06-30,3894095,3894095,3894095,3500000,monthly,IDR,approved,2022-07-09 07:34:43
87864,"","",2022-06-01,2022-06-30,3791922,3791922,3791922,3500000,monthly,IDR,approved,2022-07-09 07:36:05
74052,"","",2022-06-01,2022-06-30,1833312,1833312,1833312,1800000,monthly,IDR,approved,2022-07-09 07:44:58
74050,"","",2022-06-01,2022-06-30,1344683,1344683,1344683,1800000,monthly,IDR,approved,2022-07-09 07:47:46
79738,"","",2022-06-01,2022-06-30,1996113.74,1996113.74,1996113.74,1800000,monthly,IDR,approved,2022-07-09 07:49:50
79765,"","",2022-06-01,2022-06-30,2471051.74,2471051.74,2471051.74,1800000,monthly,IDR,approved,2022-07-09 07:51:11
74461,"","",2022-06-01,2022-06-30,3017014,3017014,3017014,3000000,monthly,IDR,approved,2022-07-09 07:56:03
74042,"","",2022-06-01,2022-06-30,2837882.74,2837882.74,2837882.74,2750000,monthly,IDR,approved,2022-07-09 07:57:54
74556,"","",2022-06-01,2022-06-30,1754406,1754406,1754406,1800000,monthly,IDR,approved,2022-07-09 07:58:38
